166-2-000050,부원,공영,노외,인천광역시 부평구 경원대로1347번길 12(부평동) 일원,인천광역시 부평구 부평동 341-193,111,1,요일제,평일+토요일+공휴일,10:30,20:30,10:30,20:30,10:30,20:30,유료,30,1000,15,500,300,10000,100000,현금+카드,,인천광역시 부평구시설관리공단,032-262-9220,37.49171809,126.7191122,2021-01-04,3540000,인천광역시 부평구
166-2-000051,부평깡시장,공영,노외,인천광역시 부평구 부흥로 315(부평동) 일원,인천광역시 부평구 부평동 416-9,128,2,요일제,평일+토요일+공휴일,00:00,00:00,00:00,00:00,00:00,00:00,유료,30,600,15,300,300,0,60000,현금+카드,,인천광역시 부평구시설관리공단,032-262-9220,37.49867037,126.726853,2021-01-04,3540000,인천광역시 부평구
166-2-000052,부평삼거리역,공영,노외,인천광역시 부평구 경인로759번길 8(부평동) 일원,인천광역시 부평구 십정동 576-9,73,3,요일제,평일+토요일,09:00,19:00,09:00,17:00,00:00,00:00,유료,30,400,15,200,300,4000,40000,현금+카드,,인천광역시 부평구시설관리공단,032-262-9220,37.4775567,126.7096235,2021-01-04,3540000,인천광역시 부평구
166-2-000053,수변로85번길,공영,노외,인천광역시 부평구 수변로85번길 34-29(부개동) 일원,인천광역시 부평구 부개동 120-74,29,4,미시행,평일+토요일+공휴일,00:00,00:00,00:00,00:00,00:00,00:00,유료,0,0,0,0,0,0,30000,현금+카드,,인천광역시 부평구시설관리공단,032-262-9220,37.49463026,126.739602,2021-01-04,3540000,인천광역시 부평구
406-2-000033,하모리 제주은행맞은편,공영,노외,,제주특별자치도 서귀포시 대정읍 하모리 846-11,18,2,미시행,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,무료,0,0,,,,,,,,제주특별자치도 서귀포시청,064-760-3132,,126.253279,2021-04-18,6520000,제주특별자치도 서귀포시
406-2-000034,아랑조을거리주차장,공영,노외,,제주특별자치도 서귀포시 서귀동 312-6,37,1,미시행,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,혼합,30,1000,15,500,,,100000,현금. 신용카드,"①유공납세자(선정일로부터 1년간), 감면액 이상의 자원봉사마일리지 소지자, 장애정도가 심한 장애인 1일 1차례 3시간 면제, ②경차, 저공해차, 전기차, 4.3 희생자 및 유족 50 감면. ③최근 2년 이내 헌혈증 소지자, 장애정도가 심하지 않은 장애인, 국가유공자, 5.18민주유공자, 고엽제 후유의증 환자, 임산부, 다자녀가정, 의사상자, 장기등 기증자 1일 1차례 3시간 50 감면. 유료운영시간(평일 09:00 ~ 18:00) 이외는 무료",제주특별자치도 서귀포시청,064-760-3132,33.247784,126.560306,2021-04-18,6520000,제주특별자치도 서귀포시
406-2-000035,성산읍사무소 옆,공영,노외,,제주특별자치도 서귀포시 성산읍 고성리 1022-8,31,2,미시행,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,무료,0,0,,,,,,,,제주특별자치도 서귀포시청,064-760-4293,33.442407,126.911426,2021-04-18,6520000,제주특별자치도 서귀포시
406-2-000036,쇠소깍,공영,노외,제주특별자치도 서귀포시 쇠소깍로 104,제주특별자치도 서귀포시 하효동 990-1,54,1,미시행,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,무료,0,0,,,,,,,,제주특별자치도 서귀포시청,064-760-3132,33.254249,126.622494,2021-04-18,6520000,제주특별자치도 서귀포시
406-2-000037,고성리 원광어린이집 인근,공영,노외,,제주특별자치도 서귀포시 성산읍 고성리 1089,15,2,미시행,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,무료,0,0,,,,,,,,제주특별자치도 서귀포시청,064-760-3132,33.449139,126.910826,2021-04-18,6520000,제주특별자치도 서귀포시
406-2-000038,천지공영주차빌딩,공영,노외,,제주특별자치도 서귀포시 서귀동 305-1,220,1,미시행,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,혼합,30,1000,15,500,,,100000,현금. 신용카드,"①유공납세자(선정일로부터 1년간), 감면액 이상의 자원봉사마일리지 소지자, 장애정도가 심한 장애인 1일 1차례 3시간 면제, ②경차, 저공해차, 전기차, 4.3 희생자 및 유족 50 감면. ③최근 2년 이내 헌혈증 소지자, 장애정도가 심하지 않은 장애인, 국가유공자, 5.18민주유공자, 고엽제 후유의증 환자, 임산부, 다자녀가정, 의사상자, 장기등 기증자 1일 1차례 3시간 50 감면. 유료운영시간(평일 09:00 ~ 18:00) 이외는 무료",제주특별자치도 서귀포시청,064-760-3132,33.25152344,126.5593512,2021-04-18,6520000,제주특별자치도 서귀포시
